"id","ingredient_name","scanned_at"
"1","Flour","2025-04-26 00:25:12"
"2","Flour","2025-04-26 00:25:12"
"3","Wheat","2025-04-26 00:25:12"
"4","Wheat Flour","2025-04-26 00:25:12"
"5","Niacin","2025-04-26 00:25:12"
"6","Iron","2025-04-26 00:25:12"
"7","Folic Acid","2025-04-26 00:25:12"
"8","Soybean","2025-04-26 00:25:12"
"9","Whey","2025-04-26 00:25:12"
"10","Salt","2025-04-26 00:25:12"
"11","Enzymes","2025-04-26 00:25:12"
"12","Annatto","2025-04-26 00:25:12"
"13","Salt","2025-04-26 00:25:12"
"14","Paprika","2025-04-26 00:25:12"
"15","Paprika","2025-04-26 00:25:12"
"16","Wheat","2025-04-26 00:25:12"
"17","Sugar","2025-04-26 00:25:48"
"18","Dextrose","2025-04-26 00:25:48"
"19","Starch","2025-04-26 00:25:48"
"20","Potato Starch","2025-04-26 00:25:48"
"21","Starch","2025-04-26 00:25:48"
"22","Citric Acid","2025-04-26 00:25:48"
"23","Citric Acid","2025-04-26 00:25:48"
"24","Lactic Acid","2025-04-26 00:25:48"
"25","Lactic Acid","2025-04-26 00:25:48"
"26","Rice","2025-04-26 00:25:48"
"27","Sugar","2025-04-26 00:25:48"
"28","Pectin","2025-04-26 00:25:48"
"29","Pectin","2025-04-26 00:25:48"
"30","Paprika","2025-04-26 00:25:48"
"31","Coconut","2025-04-26 00:25:48"
"32","Carnauba Wax","2025-04-26 00:25:48"
"33","Carnauba Wax","2025-04-26 00:25:48"
"34","Oats","2025-04-26 00:25:59"
"35","Cranberry","2025-04-26 00:25:59"
"36","Sugar","2025-04-26 00:25:59"
"37","Flour","2025-04-26 00:25:59"
"38","Oat Flour","2025-04-26 00:25:59"
"39","Rice","2025-04-26 00:25:59"
"40","Wheat","2025-04-26 00:25:59"
"41","Flour","2025-04-26 00:25:59"
"42","Rice","2025-04-26 00:25:59"
"43","Corn","2025-04-26 00:25:59"
"44","Corn Flour","2025-04-26 00:25:59"
"45","Flour","2025-04-26 00:25:59"
"46","Honey","2025-04-26 00:25:59"
"47","Malt","2025-04-26 00:25:59"
"48","Bran","2025-04-26 00:26:00"
"49","Wheat","2025-04-26 00:26:00"
"50","Flour","2025-04-26 00:26:00"
"51","Wheat","2025-04-26 00:26:00"
"52","Wheat Flour","2025-04-26 00:26:00"
"53","Salt","2025-04-26 00:26:00"
"54","Dextrose","2025-04-26 00:26:00"
"55","Flour","2025-04-26 00:26:00"
"56","Raisin","2025-04-26 00:26:00"
"57","Cream","2025-04-26 00:26:00"
"58","Gluten","2025-04-26 00:26:00"
"59","Flour","2025-04-26 00:26:09"
"60","Flour","2025-04-26 00:26:09"
"61","Wheat","2025-04-26 00:26:09"
"62","Wheat Flour","2025-04-26 00:26:09"
"63","Flour","2025-04-26 00:26:09"
"64","Malt","2025-04-26 00:26:09"
"65","Niacin","2025-04-26 00:26:09"
"66","Iron","2025-04-26 00:26:09"
"67","Folic Acid","2025-04-26 00:26:09"
"68","Sugar","2025-04-26 00:26:09"
"69","Corn","2025-04-26 00:26:09"
"70","Salt","2025-04-26 00:26:09"
"71","Soybean","2025-04-26 00:26:09"
"72","Soybean Oil","2025-04-26 00:26:09"
"73","Honey","2025-04-26 00:26:09"
"74","Egg","2025-04-26 00:26:09"
"75","Onion","2025-04-26 00:26:19"
"76","Garlic","2025-04-26 00:26:19"
"77","Ginger","2025-04-26 00:26:19"
"78","Sugar","2025-04-26 00:26:19"
"79","Salt","2025-04-26 00:26:19"
"80","Flour","2025-04-26 00:26:19"
"81","Soya Sauce","2025-04-26 00:26:19"
"82","Spices","2025-04-26 00:26:19"
"83","Gluten","2025-04-26 00:26:19"
"84","Mustard","2025-04-26 00:26:19"
"85","Sugar","2025-04-26 00:26:34"
"86","Flour","2025-04-26 00:26:35"
